"Sales Dashboard"
"Last updated","November 21, 2019 1:15:54 PM PST"

"Filter selection"
"Date","Custom [November 22, 2017 - November 21, 2019]"
"Fulfillment channel","Both (Amazon and seller)"

"Sales snapshot"
"Total order items","Units ordered","Ordered product sales","Avg. units/order item","Avg. sales/order item"
"829","869","$43,235.94","1.05","$52.15"

"Compare sales - Graph view"
"Time","Selected date range (OPS)","Selected date range (Units)"
"5/9/18","$0.00","0"
"5/10/18","$0.00","0"
"5/11/18","$0.00","0"
"5/12/18","$0.00","0"
"5/13/18","$0.00","0"
"5/14/18","$0.00","0"
"5/15/18","$0.00","0"
"5/16/18","$0.00","0"
"5/17/18","$0.00","0"
"5/18/18","$0.00","0"
"5/19/18","$0.00","0"
"5/20/18","$0.00","0"
"5/21/18","$0.00","0"
"5/22/18","$0.00","0"
"5/23/18","$0.00","0"
"5/24/18","$0.00","0"
"5/25/18","$0.00","0"
"5/26/18","$0.00","0"
"5/27/18","$0.00","0"
"5/28/18","$0.00","0"
"5/29/18","$0.00","0"
"5/30/18","$0.00","0"
"5/31/18","$0.00","0"
"6/1/18","$0.00","0"
"6/2/18","$0.00","0"
"6/3/18","$0.00","0"
"6/4/18","$0.00","0"
"6/5/18","$0.00","0"
"6/6/18","$0.00","0"
"6/7/18","$0.00","0"
"6/8/18","$0.00","0"
"6/9/18","$0.00","0"
"6/10/18","$0.00","0"
"6/11/18","$0.00","0"
"6/12/18","$0.00","0"
"6/13/18","$0.00","0"
"6/14/18","$0.00","0"
"6/15/18","$0.00","0"
"6/16/18","$0.00","0"
"6/17/18","$0.00","0"
"6/18/18","$0.00","0"
"6/19/18","$0.00","0"
"6/20/18","$0.00","0"
"6/21/18","$0.00","0"
"6/22/18","$0.00","0"
"6/23/18","$0.00","0"
"6/24/18","$0.00","0"
"6/25/18","$0.00","0"
"6/26/18","$0.00","0"
"6/27/18","$0.00","0"
"6/28/18","$0.00","0"
"6/29/18","$0.00","0"
"6/30/18","$0.00","0"
"7/1/18","$0.00","0"
"7/2/18","$0.00","0"
"7/3/18","$0.00","0"
"7/4/18","$0.00","0"
"7/5/18","$0.00","0"
"7/6/18","$0.00","0"
"7/7/18","$0.00","0"
"7/8/18","$0.00","0"
"7/9/18","$0.00","0"
"7/10/18","$0.00","0"
"7/11/18","$0.00","0"
"7/12/18","$0.00","0"
"7/13/18","$0.00","0"
"7/14/18","$0.00","0"
"7/15/18","$0.00","0"
"7/16/18","$0.00","0"
"7/17/18","$0.00","0"
"7/18/18","$0.00","0"
"7/19/18","$0.00","0"
"7/20/18","$0.00","0"
"7/21/18","$0.00","0"
"7/22/18","$0.00","0"
"7/23/18","$0.00","0"
"7/24/18","$0.00","0"
"7/25/18","$0.00","0"
"7/26/18","$0.00","0"
"7/27/18","$0.00","0"
"7/28/18","$0.00","0"
"7/29/18","$0.00","0"
"7/30/18","$0.00","0"
"7/31/18","$0.00","0"
"8/1/18","$0.00","0"
"8/2/18","$0.00","0"
"8/3/18","$0.00","0"
"8/4/18","$0.00","0"
"8/5/18","$0.00","0"
"8/6/18","$0.00","0"
"8/7/18","$0.00","0"
"8/8/18","$0.00","0"
"8/9/18","$0.00","0"
"8/10/18","$0.00","0"
"8/11/18","$0.00","0"
"8/12/18","$0.00","0"
"8/13/18","$0.00","0"
"8/14/18","$0.00","0"
"8/15/18","$0.00","0"
"8/16/18","$0.00","0"
"8/17/18","$0.00","0"
"8/18/18","$0.00","0"
"8/19/18","$0.00","0"
"8/20/18","$0.00","0"
"8/21/18","$0.00","0"
"8/22/18","$0.00","0"
"8/23/18","$0.00","0"
"8/24/18","$0.00","0"
"8/25/18","$0.00","0"
"8/26/18","$0.00","0"
"8/27/18","$0.00","0"
"8/28/18","$0.00","0"
"8/29/18","$0.00","0"
"8/30/18","$0.00","0"
"8/31/18","$0.00","0"
"9/1/18","$0.00","0"
"9/2/18","$0.00","0"
"9/3/18","$0.00","0"
"9/4/18","$0.00","0"
"9/5/18","$0.00","0"
"9/6/18","$0.00","0"
"9/7/18","$0.00","0"
"9/8/18","$0.00","0"
"9/9/18","$0.00","0"
"9/10/18","$0.00","0"
"9/11/18","$0.00","0"
"9/12/18","$0.00","0"
"9/13/18","$0.00","0"
"9/14/18","$0.00","0"
"9/15/18","$0.00","0"
"9/16/18","$0.00","0"
"9/17/18","$0.00","0"
"9/18/18","$0.00","0"
"9/19/18","$0.00","0"
"9/20/18","$0.00","0"
"9/21/18","$0.00","0"
"9/22/18","$0.00","0"
"9/23/18","$0.00","0"
"9/24/18","$0.00","0"
"9/25/18","$0.00","0"
"9/26/18","$0.00","0"
"9/27/18","$0.00","0"
"9/28/18","$0.00","0"
"9/29/18","$0.00","0"
"9/30/18","$0.00","0"
"10/1/18","$0.00","0"
"10/2/18","$0.00","0"
"10/3/18","$0.00","0"
"10/4/18","$0.00","0"
"10/5/18","$0.00","0"
"10/6/18","$0.00","0"
"10/7/18","$0.00","0"
"10/8/18","$0.00","0"
"10/9/18","$0.00","0"
"10/10/18","$0.00","0"
"10/11/18","$0.00","0"
"10/12/18","$0.00","0"
"10/13/18","$0.00","0"
"10/14/18","$0.00","0"
"10/15/18","$0.00","0"
"10/16/18","$0.00","0"
"10/17/18","$0.00","0"
"10/18/18","$39.90","1"
"10/19/18","$0.00","0"
"10/20/18","$0.00","0"
"10/21/18","$0.00","0"
"10/22/18","$0.00","0"
"10/23/18","$0.00","0"
"10/24/18","$0.00","0"
"10/25/18","$0.00","0"
"10/26/18","$0.00","0"
"10/27/18","$0.00","0"
"10/28/18","$0.00","0"
"10/29/18","$0.00","0"
"10/30/18","$0.00","0"
"10/31/18","$0.00","0"
"11/1/18","$0.00","0"
"11/2/18","$0.00","0"
"11/3/18","$0.00","0"
"11/4/18","$0.00","0"
"11/5/18","$0.00","0"
"11/6/18","$0.00","0"
"11/7/18","$0.00","0"
"11/8/18","$58.59","1"
"11/9/18","$0.00","0"
"11/10/18","$58.89","1"
"11/11/18","$117.48","2"
"11/12/18","$58.89","1"
"11/13/18","$104.48","2"
"11/14/18","$104.78","2"
"11/15/18","$117.78","2"
"11/16/18","$117.78","2"
"11/17/18","$117.18","2"
"11/18/18","$288.45","5"
"11/19/18","$117.78","2"
"11/20/18","$411.63","7"
"11/21/18","$209.56","4"
"11/22/18","$176.37","3"
"11/23/18","$470.52","8"
"11/24/18","$222.26","4"
"11/25/18","$58.59","1"
"11/26/18","$385.63","7"
"11/27/18","$242.45","5"
"11/28/18","$295.15","5"
"11/29/18","$456.02","8"
"11/30/18","$150.67","3"
"12/1/18","$229.45","5"
"12/2/18","$301.34","6"
"12/3/18","$229.45","5"
"12/4/18","$65.89","1"
"12/5/18","$91.78","2"
"12/6/18","$236.56","4"
"12/7/18","$280.25","5"
"12/8/18","$176.07","3"
"12/9/18","$614.29","11"
"12/10/18","$177.67","3"
"12/11/18","$104.78","2"
"12/12/18","$280.85","5"
"12/13/18","$563.19","11"
"12/14/18","$150.37","3"
"12/15/18","$150.67","3"
"12/16/18","$58.89","1"
"12/17/18","$209.26","4"
"12/18/18","$91.78","2"
"12/19/18","$385.93","7"
"12/20/18","$339.44","6"
"12/21/18","$0.00","0"
"12/22/18","$280.85","5"
"12/23/18","$45.89","1"
"12/24/18","$235.56","4"
"12/25/18","$150.67","3"
"12/26/18","$176.37","3"
"12/27/18","$398.63","7"
"12/28/18","$58.59","1"
"12/29/18","$177.67","3"
"12/30/18","$267.55","5"
"12/31/18","$65.89","1"
"1/1/19","$0.00","0"
"1/2/19","$0.00","0"
"1/3/19","$0.00","0"
"1/4/19","$183.56","4"
"1/5/19","$196.26","4"
"1/6/19","$267.55","5"
"1/7/19","$58.59","1"
"1/8/19","$785.64","16"
"1/9/19","$412.52","8"
"1/10/19","$58.59","1"
"1/11/19","$0.00","0"
"1/12/19","$208.96","4"
"1/13/19","$163.07","3"
"1/14/19","$445.12","8"
"1/15/19","$58.59","1"
"1/16/19","$104.48","2"
"1/17/19","$58.59","1"
"1/18/19","$293.55","5"
"1/19/19","$58.59","1"
"1/20/19","$234.66","4"
"1/21/19","$150.37","3"
"1/22/19","$104.48","2"
"1/23/19","$163.07","3"
"1/24/19","$117.18","2"
"1/25/19","$175.77","3"
"1/26/19","$234.96","4"
"1/27/19","$163.07","3"
"1/28/19","$163.07","3"
"1/29/19","$209.56","4"
"1/30/19","$0.00","0"
"1/31/19","$0.00","0"
"2/1/19","$45.89","1"
"2/2/19","$229.45","5"
"2/3/19","$0.00","0"
"2/4/19","$241.66","4"
"2/5/19","$117.48","2"
"2/6/19","$150.37","3"
"2/7/19","$163.07","3"
"2/8/19","$0.00","0"
"2/9/19","$45.89","1"
"2/10/19","$228.96","4"
"2/11/19","$150.37","3"
"2/12/19","$150.37","3"
"2/13/19","$137.67","3"
"2/14/19","$58.59","1"
"2/15/19","$45.89","1"
"2/16/19","$0.00","0"
"2/17/19","$124.48","2"
"2/18/19","$280.55","5"
"2/19/19","$117.18","2"
"2/20/19","$170.37","3"
"2/21/19","$150.37","3"
"2/22/19","$163.07","3"
"2/23/19","$65.89","1"
"2/24/19","$104.78","2"
"2/25/19","$58.59","1"
"2/26/19","$0.00","0"
"2/27/19","$45.89","1"
"2/28/19","$65.89","1"
"3/1/19","$58.59","1"
"3/2/19","$0.00","0"
"3/3/19","$45.89","1"
"3/4/19","$65.89","1"
"3/5/19","$0.00","0"
"3/6/19","$117.18","2"
"3/7/19","$58.59","1"
"3/8/19","$0.00","0"
"3/9/19","$176.37","3"
"3/10/19","$58.59","1"
"3/11/19","$0.00","0"
"3/12/19","$65.89","1"
"3/13/19","$58.59","1"
"3/14/19","$124.48","2"
"3/15/19","$0.00","0"
"3/16/19","$65.89","1"
"3/17/19","$0.00","0"
"3/18/19","$104.78","2"
"3/19/19","$0.00","0"
"3/20/19","$58.59","1"
"3/21/19","$0.00","0"
"3/22/19","$0.00","0"
"3/23/19","$104.78","2"
"3/24/19","$58.59","1"
"3/25/19","$104.48","2"
"3/26/19","$131.78","2"
"3/27/19","$183.07","3"
"3/28/19","$0.00","0"
"3/29/19","$0.00","0"
"3/30/19","$0.00","0"
"3/31/19","$0.00","0"
"4/1/19","$0.00","0"
"4/2/19","$45.89","1"
"4/3/19","$0.00","0"
"4/4/19","$65.89","1"
"4/5/19","$58.59","1"
"4/6/19","$0.00","0"
"4/7/19","$0.00","0"
"4/8/19","$58.59","1"
"4/9/19","$0.00","0"
"4/10/19","$45.89","1"
"4/11/19","$65.89","1"
"4/12/19","$0.00","0"
"4/13/19","$0.00","0"
"4/14/19","$0.00","0"
"4/15/19","$0.00","0"
"4/16/19","$0.00","0"
"4/17/19","$45.89","1"
"4/18/19","$117.78","2"
"4/19/19","$0.00","0"
"4/20/19","$0.00","0"
"4/21/19","$0.00","0"
"4/22/19","$0.00","0"
"4/23/19","$58.59","1"
"4/24/19","$0.00","0"
"4/25/19","$58.59","1"
"4/26/19","$0.00","0"
"4/27/19","$0.00","0"
"4/28/19","$58.89","1"
"4/29/19","$0.00","0"
"4/30/19","$0.00","0"
"5/1/19","$0.00","0"
"5/2/19","$0.00","0"
"5/3/19","$65.89","1"
"5/4/19","$45.89","1"
"5/5/19","$0.00","0"
"5/6/19","$0.00","0"
"5/7/19","$0.00","0"
"5/8/19","$0.00","0"
"5/9/19","$65.89","1"
"5/10/19","$0.00","0"
"5/11/19","$58.89","1"
"5/12/19","$0.00","0"
"5/13/19","$45.89","1"
"5/14/19","$58.89","1"
"5/15/19","$0.00","0"
"5/16/19","$0.00","0"
"5/17/19","$0.00","0"
"5/18/19","$58.59","1"
"5/19/19","$0.00","0"
"5/20/19","$529.41","9"
"5/21/19","$373.33","7"
"5/22/19","$104.78","2"
"5/23/19","$0.00","0"
"5/24/19","$0.00","0"
"5/25/19","$58.89","1"
"5/26/19","$176.67","3"
"5/27/19","$58.59","1"
"5/28/19","$58.59","1"
"5/29/19","$314.14","6"
"5/30/19","$176.37","3"
"5/31/19","$117.78","2"
"6/1/19","$58.89","1"
"6/2/19","$235.26","4"
"6/3/19","$50.99","1"
"6/4/19","$203.96","4"
"6/5/19","$238.95","5"
"6/6/19","$101.98","2"
"6/7/19","$101.98","3"
"6/8/19","$151.97","3"
"6/9/19","$152.97","3"
"6/10/19","$100.98","2"
"6/11/19","$253.95","5"
"6/12/19","$203.96","4"
"6/13/19","$251.94","6"
"6/14/19","$50.99","1"
"6/15/19","$203.96","4"
"6/16/19","$202.96","4"
"6/17/19","$136.97","3"
"6/18/19","$151.97","3"
"6/19/19","$176.96","4"
"6/20/19","$200.96","4"
"6/21/19","$49.99","1"
"6/22/19","$313.93","8"
"6/23/19","$251.95","5"
"6/24/19","$201.96","4"
"6/25/19","$302.94","6"
"6/26/19","$171.96","4"
"6/27/19","$85.98","2"
"6/28/19","$251.95","5"
"6/29/19","$202.96","4"
"6/30/19","$0.00","0"
"7/1/19","$135.97","3"
"7/2/19","$165.87","3"
"7/3/19","$0.00","0"
"7/4/19","$0.00","0"
"7/5/19","$86.98","2"
"7/6/19","$49.99","1"
"7/7/19","$0.00","0"
"7/8/19","$149.97","3"
"7/9/19","$49.99","1"
"7/10/19","$173.96","4"
"7/11/19","$149.97","3"
"7/12/19","$149.97","3"
"7/13/19","$0.00","0"
"7/14/19","$351.83","7"
"7/15/19","$50.99","1"
"7/16/19","$85.98","2"
"7/17/19","$0.00","0"
"7/18/19","$86.98","2"
"7/19/19","$101.98","2"
"7/20/19","$0.00","0"
"7/21/19","$49.99","1"
"7/22/19","$49.99","1"
"7/23/19","$50.99","1"
"7/24/19","$49.99","1"
"7/25/19","$81.88","2"
"7/26/19","$100.98","2"
"7/27/19","$49.99","1"
"7/28/19","$111.78","2"
"7/29/19","$0.00","0"
"7/30/19","$35.99","1"
"7/31/19","$0.00","0"
"8/1/19","$86.98","2"
"8/2/19","$49.99","1"
"8/3/19","$112.97","3"
"8/4/19","$0.00","0"
"8/5/19","$35.99","1"
"8/6/19","$49.99","1"
"8/7/19","$50.99","1"
"8/8/19","$49.99","1"
"8/9/19","$175.96","4"
"8/10/19","$49.99","1"
"8/11/19","$89.98","2"
"8/12/19","$86.98","2"
"8/13/19","$50.99","1"
"8/14/19","$150.97","3"
"8/15/19","$99.98","2"
"8/16/19","$139.97","3"
"8/17/19","$39.99","1"
"8/18/19","$49.99","1"
"8/19/19","$0.00","0"
"8/20/19","$119.97","3"
"8/21/19","$50.99","1"
"8/22/19","$129.97","3"
"8/23/19","$0.00","0"
"8/24/19","$50.99","1"
"8/25/19","$192.96","4"
"8/26/19","$50.99","1"
"8/27/19","$90.98","2"
"8/28/19","$0.00","0"
"8/29/19","$79.98","2"
"8/30/19","$141.97","3"
"8/31/19","$79.98","2"
"9/1/19","$101.98","2"
"9/2/19","$270.55","5"
"9/3/19","$29.99","1"
"9/4/19","$39.99","1"
"9/5/19","$74.98","2"
"9/6/19","$50.99","1"
"9/7/19","$139.97","3"
"9/8/19","$130.97","3"
"9/9/19","$139.97","3"
"9/10/19","$79.98","2"
"9/11/19","$100.98","2"
"9/12/19","$39.99","1"
"9/13/19","$39.99","1"
"9/14/19","$159.96","4"
"9/15/19","$90.98","2"
"9/16/19","$209.95","5"
"9/17/19","$49.99","1"
"9/18/19","$170.96","4"
"9/19/19","$170.96","4"
"9/20/19","$110.98","2"
"9/21/19","$0.00","0"
"9/22/19","$181.96","4"
"9/23/19","$69.98","2"
"9/24/19","$173.96","4"
"9/25/19","$0.00","0"
"9/26/19","$0.00","0"
"9/27/19","$50.99","1"
"9/28/19","$29.99","1"
"9/29/19","$195.95","5"
"9/30/19","$115.97","3"
"10/1/19","$90.98","2"
"10/2/19","$86.98","2"
"10/3/19","$0.00","0"
"10/4/19","$90.98","2"
"10/5/19","$0.00","0"
"10/6/19","$286.93","7"
"10/7/19","$39.99","1"
"10/8/19","$119.97","3"
"10/9/19","$0.00","0"
"10/10/19","$131.97","3"
"10/11/19","$50.99","1"
"10/12/19","$50.99","1"
"10/13/19","$109.97","3"
"10/14/19","$209.95","5"
"10/15/19","$79.98","2"
"10/16/19","$235.94","6"
"10/17/19","$31.99","1"
"10/18/19","$171.96","4"
"10/19/19","$89.98","2"
"10/20/19","$79.98","2"
"10/21/19","$79.98","2"
"10/22/19","$49.99","1"
"10/23/19","$125.97","3"
"10/24/19","$49.99","1"
"10/25/19","$159.96","4"
"10/26/19","$131.97","3"
"10/27/19","$227.94","6"
"10/28/19","$229.94","6"
"10/29/19","$119.97","3"
"10/30/19","$84.98","2"
"10/31/19","$149.96","4"
"11/1/19","$139.97","3"
"11/2/19","$99.98","2"
"11/3/19","$251.94","6"
"11/4/19","$151.96","4"
"11/5/19","$129.97","3"
"11/6/19","$0.00","0"
"11/7/19","$79.98","2"
"11/8/19","$129.97","3"
"11/9/19","$154.96","4"
"11/10/19","$71.98","2"
"11/11/19","$179.96","4"
"11/12/19","$189.95","5"
"11/13/19","$79.98","2"
"11/14/19","$139.96","4"
"11/15/19","$0.00","0"
"11/16/19","$259.94","6"
"11/17/19","$379.91","9"
"11/18/19","$0.00","0"
"11/19/19","$451.89","11"
"11/20/19","$179.96","4"
"11/21/19","$121.97","3"

"Compare sales - Table view"
"","Total order items","Units ordered","Ordered product sales","Average units/order item","Average sales/order item"
"Selected date range","829","869","$43,235.94","1.05","$52.15"

